DATA ZAWARCIA TRANSAKCJI,MIASTO,DZIELNICA,ULICA,RODZAJ RYNKU,CENA NABYCIA,POWIERZCHNIA MIESZKANIA,CENA ZA 1 MKW,POŁOŻENIE NA KONDYGNACJI,OBECNOŚĆ MIEJSCA PARKINGOWEGO,STANDARD,ROK BUDOWY,ROK BUDOWY
2017 12 13,Gdynia, Orłowo,Spacerowa,RYNEK PIERWOTNY,759308.31,60.66,13680.1238048137,2,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 13,Sopot, Sopot,Władysława Łokietka,RYNEK PIERWOTNY,490740.74,51.08,10837.9941268598,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 13,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,303000,49.55,7359.03128153381,1,BRAK MP,DOBRY,40-50,1
2016 10 24,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,439000,66.95,7685.7356235997,4,BRAK MP,DOBRY,60-70,1
2017 06 21,Gdynia, Orłowo,Światowida,RYNEK WTÓRNY,630000,101.89,7199.05780743939,1,BRAK MP,DOBRY,40-50,1
2016 12 23,Gdynia, Wzgórze Św. Maksymiliana,Wojewódzka,RYNEK WTÓRNY,572000,86.67,7653.58255451713,2,BRAK MP,DOBRY,60-70,1
2017 12 14,Gdynia, Oksywie,Gen. Karpińskiego,RYNEK PIERWOTNY,326519.821138211,55.55,7073.9841789057,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 14,Gdynia, Chwarzno-Wiczlino,Kańskiego,RYNEK WTÓRNY,334000,48.95,8072.72727272727,2,BRAK MP,DOBRY,2015,3
2017 12 14,Gdynia, Działki Leśne,Witomińska,RYNEK WTÓRNY,320000,52.52,7311.80502665651,9,BRAK MP,DOBRY,50-60,1
2017 12 14,Gdynia, Śródmieście z Portem,Władysława IV,RYNEK WTÓRNY,245000,42.99,7010.74668527565,4,BRAK MP,DOBRY,40-50,1
2017 12 14,Gdynia, Śródmieście z Portem,Grunwaldzki Pl.,RYNEK WTÓRNY,314000,41.25,8945.45454545454,4,BRAK MP,DOBRY,40-50,1
2017 12 14,Gdynia, Wielki Kack,Witosławy,RYNEK WTÓRNY,410000,62.44,7718.64189622037,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DOBRY,2001,3
2017 12 14,Gdynia, Obłuże,Unruga,RYNEK WTÓRNY,203000,56.25,4800,5,BRAK MP,PRZECIĘTNY,80,2
2017 12 14,Gdynia, Cisowa,Owsiana,RYNEK WTÓRNY,310000,56.96,6628.65168539326,8,BRAK MP,PRZECIĘTNY,80,2
2017 12 14,Gdynia, Cisowa,Południowa,RYNEK WTÓRNY,289000,57.21,6236.11256773291,6,BRAK MP,PRZECIĘTNY,80,2
2017 05 19,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,265000,41.95,7641.4779499404,7,BRAK MP,DOBRY,60-70,1
2017 02 09,Gdynia, Wzgórze Św. Maksymiliana,Bp. Dominika,RYNEK WTÓRNY,336500,52.46,7633.77811666031,5,BRAK MP,DOBRY,60-70,1
2017 12 14,Sopot, Sopot,Malczewskiego,RYNEK WTÓRNY,300000,49.71,7277.56990545162,2,BRAK MP,DOBRY,40-50,1
2017 12 15,Sopot, Sopot,Haffnera,RYNEK WTÓRNY,615000,47.86,14109.6531550355,3,BRAK MP,WYSOKI,40-50,1
2017 12 15,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,370000,57.85,7576.1452031115,11,BRAK MP,DOBRY,70-80,2
2017 12 15,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,389373.76,73.62,6387.79896767183,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 15,Sopot, Sopot,23 Marca,RYNEK WTÓRNY,590000,65.25,10179.3103448276,1,BRAK MP,BARDZO DOBRY,2010,3
2017 12 15,Gdynia, Witomino,Widna,RYNEK WTÓRNY,200000,46.1,5615.61822125813,5,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 15,Gdynia, Cisowa,Kcyńska,RYNEK WTÓRNY,258000,50.35,6361.07249255213,3,BRAK MP,PRZECIĘTNY,80,2
2017 12 15,Gdynia, Działki Leśne,Pomorska,RYNEK WTÓRNY,260000,50.35,6400.79443892751,2,BRAK MP,PRZECIĘTNY,50-60,1
2017 12 15,Gdynia, Grabówek,Falista,RYNEK WTÓRNY,306000,55.63,6696.09922703577,6,BRAK MP,PRZECIĘTNY,60-70,1
2017 12 15,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,272000,49.08,6790.22004889976,1,BRAK MP,PRZECIĘTNY,30-40,1
2017 12 15,Gdynia, Leszczynki,Morska,RYNEK WTÓRNY,345000,63.59,6571.34769617865,3,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 15,Gdynia, Pustki Cisowskie,Czeremchowa,RYNEK WTÓRNY,214000,50.09,5511.51926532242,4,BRAK MP,PRZECIĘTNY,80,2
2018 05 11,Gdynia, Wzgórze Św. Maksymiliana,Bp. Dominika,RYNEK WTÓRNY,213000,34.55,7601.73661360347,1,BRAK MP,DOBRY,60-70,1
2017 12 18,Sopot, Sopot,Grunwaldzka,RYNEK WTÓRNY,570000,48.97,12889.0341025117,3,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 18,Gdynia, Dąbrowa,Miętowa,RYNEK WTÓRNY,215000,36.22,7343.34621755936,4,BRAK MP,DOBRY,40-50,1
2017 12 18,Gdynia, Śródmieście z Portem,Żwirki I Wigury,RYNEK WTÓRNY,339000,51.85,7762.39151398264,6,BRAK MP,DOBRY,40-50,1
2017 12 18,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,320000,55.05,7012.53405994551,1,BRAK MP,DOBRY,40-50,1
2017 12 18,Gdynia, Witomino,Nauczycielska,RYNEK WTÓRNY,286000,57.32,6173.34263782275,8,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 18,Gdynia, Leszczynki,Ramułta,RYNEK WTÓRNY,245000,63.25,5021.34387351779,5,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 18,Gdynia, Witomino,Narcyzowa,RYNEK WTÓRNY,250000,46.25,6681.08108108108,2,BRAK MP,PRZECIĘTNY,70-80,2
2018 03 26,Gdynia, Wzgórze Św. Maksymiliana,Orzeszkowej,RYNEK WTÓRNY,224000,36.23,7589.95307756003,4,BRAK MP,DOBRY,60-70,1
2017 12 19,Gdynia, Kamienna Góra,Mariacka,RYNEK PIERWOTNY,500401.87,47.85,11717.489446186,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 19,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,445000,50.84,9985.68056648309,8,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2017 12 19,Sopot, Sopot,Jagiełły,RYNEK WTÓRNY,615000,57.88,11805.5286800276,3,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 19,Gdynia, Mały Kack,Strzelców,RYNEK WTÓRNY,479000,61.75,8913.36032388664,4,BRAK MP,DOBRY,2010-2015,3
2017 12 19,Gdynia, Chwarzno-Wiczlino,Zaruskiego Gen.,RYNEK WTÓRNY,381000,55.05,8120.61762034514,4,BRAK MP,DOBRY,2015,3
2017 12 19,Gdynia, Działki Leśne,Śląska,RYNEK WTÓRNY,300000,48.54,7433.70416151628,5,BRAK MP,DOBRY,50-60,1
2017 12 19,Gdynia, Karwiny,Makuszyńskiego,RYNEK WTÓRNY,280000,66.85,5317.57666417352,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 19,Sopot, Sopot,Żeromskiego,RYNEK WTÓRNY,360000,50.65,8341.95459032576,10,BRAK MP,DOBRY,30,1
2017 12 19,Gdynia, Witomino,Wielkokacka,RYNEK WTÓRNY,191000,40.08,6114.37125748503,5,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 19,Gdynia, Działki Leśne,Pomorska,RYNEK WTÓRNY,280000,55.05,6285.92188919164,3,BRAK MP,PRZECIĘTNY,50-60,1
2017 12 19,Gdynia, Oksywie,Godebskiego,RYNEK WTÓRNY,224000,45.55,6200.6586169045,4,BRAK MP,PRZECIĘTNY,80,2
2017 12 19,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,515000,48.8,11804.0983606557,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 20,Gdynia, Orłowo,Bernadowska,RYNEK WTÓRNY,500000,44.49,12532.9737019555,3,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2017 12 20,Sopot, Sopot,Goyki,RYNEK WTÓRNY,300000,29,11903.4482758621,3,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 20,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK WTÓRNY,197600,53.15,4931.70272812794,3,BRAK MP,PRZECIĘTNY,40-50,1
2017 12 20,Gdynia, Pustki Cisowskie,Skarbka,RYNEK WTÓRNY,311000,53.15,7065.28692380056,3,BRAK MP,DOBRY,2010,3
2017 12 20,Gdynia, Działki Leśne,Szczecińska,RYNEK WTÓRNY,295000,41.35,8466.26360338573,3,BRAK MP,DOBRY,50-60,1
2017 12 20,Gdynia, Kamienna Góra,Sienkiewicza,RYNEK WTÓRNY,352000,56.85,7378.71591908531,1,BRAK MP,DOBRY,30-40,1
2017 12 20,Gdynia, Cisowa,Zbożowa,RYNEK WTÓRNY,260000,49.98,6442.2569027611,4,BRAK MP,PRZECIĘTNY,80,2
2017 12 20,Gdynia, Grabówek,Morska,RYNEK WTÓRNY,220000,40.5,6775.30864197531,8,BRAK MP,PRZECIĘTNY,60-70,1
2017 12 20,Gdynia, Pogórze,Ppłk Pruszkowskiego,RYNEK WTÓRNY,242750,56.85,5456.99208443272,7,BRAK MP,PRZECIĘTNY,80,2
2017 12 21,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,700000,56.35,13612.777284827,3,BRAK MP,BARDZO DOBRY,2015,3
2017 12 21,Gdynia, Kamienna Góra,Krasickiego,RYNEK WTÓRNY,443000,59.25,8648.10126582279,7,BRAK MP,DOBRY,70-80,2
2017 12 21,Gdynia, Dąbrowa,Paprykowa,RYNEK WTÓRNY,250000,55.15,5732.00362647326,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 12 21,Gdynia, Pustki Cisowskie,Demptowska,RYNEK WTÓRNY,198000,55.55,4760.39603960396,3,BRAK MP,PRZECIĘTNY,80,2
2017 12 21,Gdynia, Wielki Kack,Gryfa Pomorskiego,RYNEK WTÓRNY,400000,76.35,6327.17747216765,3,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2017 12 21,Gdynia, Witomino,Widna,RYNEK WTÓRNY,260000,46.1,6917.13665943601,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 07 06,Gdynia, Wzgórze Św. Maksymiliana,Bp. Dominika,RYNEK WTÓRNY,265000,42.3,7584.86997635934,4,BRAK MP,DOBRY,60-70,1
2017 12 22,Gdynia, Witomino,Konwaliowa,RYNEK WTÓRNY,255000,57.65,5604.85689505637,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 22,Gdynia, Witomino,Niska,RYNEK WTÓRNY,413000,60.85,7948.72637633525,7,BRAK MP,DOBRY,2010,3
2017 12 27,Gdynia, Oksywie,Godebskiego,RYNEK WTÓRNY,100000,33.05,4491.37670196672,2,BRAK MP,NISKI,80,2
2017 12 27,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,327000,48.8,7951.6393442623,2,BRAK MP,DOBRY,40-50,1
2017 12 27,Gdynia, Działki Leśne,Śląska,RYNEK WTÓRNY,260000,50.75,6356.65024630542,2,BRAK MP,PRZECIĘTNY,50-60,1
2017 12 27,Gdynia, Działki Leśne,Tatrzańska,RYNEK WTÓRNY,290000,63.55,5709.52006294257,2,BRAK MP,PRZECIĘTNY,50-60,1
2017 12 27,Gdynia, Grabówek,Beniowskiego,RYNEK WTÓRNY,255000,46.25,6789.18918918919,5,BRAK MP,PRZECIĘTNY,60-70,1
2018 02 05,Gdynia, Wzgórze Św. Maksymiliana,Matejki,RYNEK WTÓRNY,340000,53.66,7546.17964964592,4,BRAK MP,DOBRY,60-70,1
2017 12 28,Sopot, Sopot,Armii Krajowej,RYNEK WTÓRNY,630000,50.91,13606.9141622471,1,BRAK MP,BARDZO DOBRY,2010,3
2017 12 28,Sopot, Sopot,Króla Jana Kazimierza,RYNEK WTÓRNY,795000,78.05,11267.6489429853,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 28,Sopot, Sopot,Władysława Łokietka,RYNEK PIERWOTNY,500000,50.83,11069.5258705489,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 28,Gdynia, Śródmieście z Portem,Wójta Radtkego,RYNEK WTÓRNY,280000,50.9,6733.20235756385,1,BRAK MP,PRZECIĘTNY,40-50,1
2017 12 28,Gdynia, Chwarzno-Wiczlino,Filipkowskiego,RYNEK WTÓRNY,339000,48.25,8281.86528497409,3,BRAK MP,DOBRY,2015,3
2017 12 28,Gdynia, Kamienna Góra,Krasickiego,RYNEK WTÓRNY,293000,46.72,7542.29452054795,5,BRAK MP,DOBRY,70-80,2
2017 12 28,Gdynia, Kamienna Góra,Krasickiego,RYNEK WTÓRNY,340000,56.25,7235.55555555556,11,BRAK MP,DOBRY,30-40,1
2017 12 28,Gdynia, Mały Kack,Spokojna,RYNEK WTÓRNY,255000,47.85,6588.9237199582,1,BRAK MP,PRZECIĘTNY,2010-2015,3
2017 12 28,Sopot, Sopot,Mieszka I,RYNEK WTÓRNY,695000,96.94,8196.32762533526,4,BRAK MP,DOBRY,60-70,1
2017 12 28,Gdynia, Witomino,Polskiego Czerwonego Krzyża,RYNEK WTÓRNY,220000,50.65,5577.88746298124,10,BRAK MP,PRZECIĘTNY,70-80,2
2018 02 12,Gdynia, Orłowo,Świerkowa,RYNEK WTÓRNY,370000,81.23,5625.80327465222,4,BRAK MP,PRZECIĘTNY,2010,3
2017 12 28,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,260000,66.75,5024.7191011236,5,BRAK MP,PRZECIĘTNY,80,2
2017 12 28,Sopot, Sopot,Cieszyńskiego,RYNEK WTÓRNY,285000,46.43,7412.10424294637,4,BRAK MP,DOBRY,70-80,2
2017 12 28,Gdynia, Śródmieście z Portem,Świętojańska,RYNEK WTÓRNY,720000,57.87,13621.8420597892,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2015,3
2017 12 28,Sopot, Sopot,Kolberga,RYNEK WTÓRNY,250000,44.75,6878.21229050279,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 29,Gdynia, Mały Kack,Łowicka,RYNEK PIERWOTNY,399540.28,63.54,7434.25055083412,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2017 12 29,Sopot, Sopot,Grottgera,RYNEK WTÓRNY,437000,51.55,9703.97672162949,2,BRAK MP,BARDZO DOBRY,40-50,1
2017 12 29,Sopot, Sopot,Bałtycka,RYNEK WTÓRNY,373000,45.65,9452.79299014239,1,BRAK MP,DOBRY,40-50,1
2017 12 29,Gdynia, Śródmieście z Portem,Mściwoja,RYNEK WTÓRNY,393000,56.35,8164.68500443656,4,BRAK MP,DOBRY,40-50,1
2017 12 29,Gdynia, Witomino,Polskiego Czerwonego Krzyża,RYNEK WTÓRNY,166000,41.55,5324.66907340554,4,BRAK MP,PRZECIĘTNY,70-80,2
2017 12 29,Gdynia, Grabówek,Morska,RYNEK WTÓRNY,172000,40.75,5560.73619631902,5,BRAK MP,PRZECIĘTNY,60-70,1
2017 12 29,Gdynia, Pustki Cisowskie,Jastrzębia,RYNEK WTÓRNY,186000,49.98,4961.66466586635,1,BRAK MP,PRZECIĘTNY,80,2
2017 12 29,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,310000,55.55,6776.59765976598,2,BRAK MP,PRZECIĘTNY,40-50,1
2017 12 30,Gdynia, Grabówek,Kołłątaja,RYNEK WTÓRNY,260000,46.37,6881.518222989,5,BRAK MP,PRZECIĘTNY,60-70,1
2018 01 02,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,339000,54.65,7405.67246111619,3,BRAK MP,DOBRY,2010,3
2018 01 02,Gdynia, Mały Kack,Parkowa,RYNEK WTÓRNY,392000,56.95,8069.53467954346,1,BRAK MP,DOBRY,2010-2015,3
2018 01 02,Gdynia, Pustki Cisowskie,Rumska,RYNEK WTÓRNY,430000,64.95,7759.19938414165,6,BRAK MP,DOBRY,2010,3
2018 01 02,Gdynia, Pustki Cisowskie,Modrzewiowa,RYNEK WTÓRNY,265000,47.51,6840.833508735,5,BRAK MP,PRZECIĘTNY,2010,3
2018 01 02,Gdynia, Redłowo,Korczaka,RYNEK WTÓRNY,389000,52.15,8681.11217641419,3,BRAK MP,DOBRY,70-80,2
2018 01 02,Gdynia, Śródmieście z Portem,Śląska,RYNEK WTÓRNY,280000,48.65,7007.60534429599,4,BRAK MP,DOBRY,40-50,1
2018 01 02,Gdynia, Wzgórze Św. Maksymiliana,Redłowska,RYNEK WTÓRNY,520000,64.95,9144.88067744419,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DOBRY,2010,3
2018 01 02,Gdynia, Cisowa,Chylońska,RYNEK WTÓRNY,240000,63.78,4907.87080589527,3,BRAK MP,PRZECIĘTNY,80,2
2018 01 02,Gdynia, Karwiny,Korzenna,RYNEK WTÓRNY,290000,64.46,5640.21098355569,4,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 03,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,640000,52.47,13416.7333714504,1,BRAK MP,BARDZO DOBRY,2015,3
2018 01 03,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,600000,49.45,13378.3619817998,3,BRAK MP,BARDZO DOBRY,30,1
2017 04 28,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,330000,52.35,7523.97325692455,8,BRAK MP,DOBRY,60-70,1
2018 01 03,Gdynia, Orłowo,Bukowa,RYNEK PIERWOTNY,451851.85,64.16,8185.47147755611,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2018 01 03,Sopot, Sopot,Malczewskiego,RYNEK WTÓRNY,410000,51.54,9181.83934807916,3,BRAK MP,DOBRY,40-50,1
2018 01 03,Gdynia, Witomino,Graniczna,RYNEK WTÓRNY,265000,52.85,6230.46357615894,1,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 03,Gdynia, Cisowa,Zbożowa,RYNEK WTÓRNY,249500,49.55,6279.31382441978,9,BRAK MP,PRZECIĘTNY,80,2
2018 01 03,Gdynia, Cisowa,Chylońska,RYNEK WTÓRNY,329000,64.16,6270.69825436409,3,BRAK MP,PRZECIĘTNY,80,2
2018 01 03,Gdynia, Babie Doły,Dedala,RYNEK WTÓRNY,208000,49,5493.87755102041,5,BRAK MP,PRZECIĘTNY,80,2
2018 01 03,Gdynia, Redłowo,Boh. Starówki Warszawskiej,RYNEK WTÓRNY,237000,55.19,5492.8791447726,4,BRAK MP,PRZECIĘTNY,70-80,2
2018 05 29,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,260000,41.95,7522.2884386174,1,BRAK MP,DOBRY,60-70,1
2018 01 04,Gdynia, Grabówek,Kołłątaja,RYNEK WTÓRNY,338000,55.31,7308.76875790996,2,BRAK MP,DOBRY,60-70,1
2018 01 04,Gdynia, Dąbrowa,Słonecznikowa,RYNEK PIERWOTNY,285092.59,56.34,6250.70269790557,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2018 01 04,Gdynia, Karwiny,Staffa,RYNEK WTÓRNY,402000,70.51,6813.3314423486,2,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 04,Gdynia, Wielki Kack,Wschodnia,RYNEK WTÓRNY,315000,56.6,6754.06360424028,1,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 04,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,375000,68.05,6633.94562821455,4,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 04,Gdynia, Witomino,Polskiego Czerwonego Krzyża,RYNEK WTÓRNY,349000,57.45,7257.78938207137,4,BRAK MP,DOBRY,70-80,2
2018 09 25,Gdynia, Wzgórze Św. Maksymiliana,Wojewody Wachowiaka,RYNEK WTÓRNY,145000,24.88,7512.21864951769,2,BRAK MP,DOBRY,60-70,1
2018 01 05,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,1265000,114.16,12073.6510161177,3,BRAK MP,BARDZO DOBRY,30,1
2018 01 05,Gdynia, Śródmieście z Portem,Starowiejska,RYNEK WTÓRNY,550000,100.05,6517.14142928536,2,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 05,Gdynia, Chwarzno-Wiczlino,Kańskiego,RYNEK WTÓRNY,545000,76.55,8206.9235793599,1,BRAK MP,DOBRY,2015,3
2018 01 05,Gdynia, Śródmieście z Portem,Armii Krajowej,RYNEK WTÓRNY,260000,45.64,6978.79053461876,5,BRAK MP,DOBRY,40-50,1
2018 01 05,Gdynia, Leszczynki,Gen. Orlicz - Dreszera,RYNEK WTÓRNY,230000,59.95,5003.50291909925,6,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 05,Gdynia, Obłuże,Ledóchowskiego,RYNEK WTÓRNY,413000,81.16,6159.78314440611,4,BRAK MP,PRZECIĘTNY,80,2
2018 01 05,Gdynia, Obłuże,Białowieska,RYNEK WTÓRNY,310000,57.46,6577.93247476505,3,BRAK MP,PRZECIĘTNY,80,2
2018 01 05,Sopot, Sopot,Kraszewskiego,RYNEK WTÓRNY,343000,54.81,7459.36872833425,4,BRAK MP,DOBRY,70-80,2
2018 01 05,Gdynia, Witomino,Wielkokacka,RYNEK WTÓRNY,325000,46.88,8201.8771331058,7,BRAK MP,DOBRY,2010,3
2018 01 08,Gdynia, Śródmieście z Portem,Węglowa,RYNEK WTÓRNY,240000,46.75,6404.27807486631,5,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 08,Gdynia, Chwarzno-Wiczlino,Zaruskiego Gen.,RYNEK WTÓRNY,350000,49.75,8277.38693467337,3,BRAK MP,DOBRY,2015,3
2018 07 23,Gdynia, Wzgórze Św. Maksymiliana,Wojewody Wachowiaka,RYNEK WTÓRNY,260000,42.11,7496.7466160057,1,BRAK MP,DOBRY,60-70,1
2018 01 08,Gdynia, Witomino,Hodowlana,RYNEK WTÓRNY,230000,59.27,5051.72937405095,5,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 08,Gdynia, Działki Leśne,Śląska,RYNEK WTÓRNY,305000,65.52,5790.84249084249,2,BRAK MP,PRZECIĘTNY,50-60,1
2018 01 08,Gdynia, Pogórze,Kleeberga,RYNEK WTÓRNY,280000,60.75,5771.19341563786,1,BRAK MP,PRZECIĘTNY,80,2
2018 01 08,Gdynia, Wielki Kack,Gryfa Pomorskiego,RYNEK WTÓRNY,230000,46.75,6190.3743315508,1,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 08,Sopot, Sopot,Sienkiewicza,RYNEK WTÓRNY,270000,45.13,7270.19720806559,8,BRAK MP,DOBRY,30,1
2018 01 09,Gdynia, Wielki Kack,Szefki,RYNEK WTÓRNY,370000,64.45,6882.2342901474,4,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 09,Gdynia, Dąbrowa,Miłkowa,RYNEK WTÓRNY,364000,68.85,6406.39070442992,3,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 09,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,776851.84,149.68,6137.06467129877,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2018 01 09,Gdynia, Obłuże,Jantarowa,RYNEK WTÓRNY,300000,58.27,6325.99965677021,1,BRAK MP,PRZECIĘTNY,80,2
2018 01 09,Sopot, Sopot,Cieszyńskiego,RYNEK WTÓRNY,200000,44.75,5760.8938547486,2,BRAK MP,PRZECIĘTNY,70-80,2
2018 01 10,Gdynia, Kamienna Góra,Legionów,RYNEK WTÓRNY,355000,54.65,7698.44464775846,2,BRAK MP,DOBRY,70-80,2
2018 01 10,Sopot, Sopot,3 Maja,RYNEK WTÓRNY,300000,45.15,7931.78294573643,5,BRAK MP,DOBRY,40-50,1
2018 01 10,Gdynia, Śródmieście z Portem,Skwer Kościuszki,RYNEK WTÓRNY,440000,61.95,8257.62711864407,4,BRAK MP,DOBRY,40-50,1
2018 01 10,Gdynia, Witomino,Chwarznieńska,RYNEK WTÓRNY,170000,45.55,5015.14818880351,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 08 11,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,400000,63.05,7493.10071371927,3,BRAK MP,DOBRY,60-70,1
2018 01 10,Gdynia, Obłuże,Benisławskiego,RYNEK WTÓRNY,260000,66.75,5024.7191011236,5,BRAK MP,PRZECIĘTNY,80,2
2018 01 11,Gdynia, Dąbrowa,Kameliowa,RYNEK WTÓRNY,335000,50.01,7938.57228554289,4,BRAK MP,DOBRY,40-50,1
2018 01 11,Gdynia, Grabówek,Falista,RYNEK WTÓRNY,310000,49.39,7522.0085037457,5,BRAK MP,DOBRY,60-70,1
2018 01 11,Gdynia, Obłuże,Unruga,RYNEK WTÓRNY,206000,64.15,4354.16991426345,4,BRAK MP,NISKI,80,2
2017 08 03,Gdynia, Wzgórze Św. Maksymiliana,Wojewody Wachowiaka,RYNEK WTÓRNY,380000,60.08,7491.07856191744,1,BRAK MP,DOBRY,60-70,1
2018 01 11,Gdynia, Dąbrowa,Gorczycowa,RYNEK WTÓRNY,226000,44.45,6379.3025871766,6,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 11,Gdynia, Kamienna Góra,Krasickiego,RYNEK WTÓRNY,342000,59.45,6922.79226240538,8,BRAK MP,PRZECIĘTNY,30-40,1
2018 01 11,Gdynia, Karwiny,Porazińskiej,RYNEK WTÓRNY,275000,51.95,6517.03561116458,2,BRAK MP,PRZECIĘTNY,70-80,2
2017 10 11,Gdynia, Witomino,Kielecka,RYNEK WTÓRNY,360000,57.15,7484.16447944007,2,BRAK MP,DOBRY,2010,3
2018 01 12,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,462000,51.95,10116.6506256015,1,BRAK MP,BARDZO DOBRY,2010,3
2018 01 12,Gdynia, Leszczynki,Dembińskiego,RYNEK WTÓRNY,278000,38.95,8502.18228498074,3,BRAK MP,DOBRY,2015,3
2018 01 12,Gdynia, Działki Leśne,Szczecińska,RYNEK WTÓRNY,277000,47.55,7088.11777076761,1,BRAK MP,DOBRY,50-60,1
2018 01 12,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,410000,54.44,8735.34166054372,3,BRAK MP,DOBRY,30-40,1
2018 01 12,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,495000,59.44,9497.8465679677,6,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DOBRY,2010,3
2018 01 12,Gdynia, Dąbrowa,Sojowa,RYNEK WTÓRNY,263000,68.25,4975.82417582418,4,BRAK MP,PRZECIĘTNY,40-50,1
2018 01 12,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,243000,66.35,4793.9713639789,2,BRAK MP,PRZECIĘTNY,40-50,1
